_id,interaction_id,doc_title,doc_position,doc_page_viewed,createdAt,updatedAt,__v,doc_id
65fb3e42eddf897ea3091a8b,dcb1798d-2140-4b78-bae0-5e2d6808199c,High blood pressure (hypertension) - Symptoms & causes - Mayo ...,1,1,2024-03-20 19:51:30.771,2024-03-20 19:51:30.771,0,
65fb540472a34e612b78e6f1,87a4d351-4a6e-4297-a71f-f474e52524c4,"Fire ant bites: Treatment, symptoms, what they look like",4,1,2024-03-20 21:24:20.830,2024-03-20 21:24:20.830,0,_C4HIP5W824J
65fb556c72a34e612b78e6fd,be9ee781-7a82-4e58-95d3-8e0752ef8b1a,A Detailed Review Study on Potential Effects of Microplastics and ...,1,1,2024-03-20 21:30:20.209,2024-03-20 21:30:20.209,0,
65fb57c472a34e612b78e709,d5ad368c-ec73-4e18-855c-4abd9c52f6a8,High blood pressure in adults - hypertension: MedlinePlus Medical ...,1,1,2024-03-20 21:40:20.066,2024-03-20 21:40:20.066,0,92lx7oh0LwoJ
65fb59d472a34e612b78e717,27b20136-f946-4c3b-be3c-63f8da9c4e46,Solar Energy vs Fossil Fuels: How Do They Compare? | EnergySage,1,1,2024-03-20 21:49:08.299,2024-03-20 21:49:08.299,0,obBzCN408dUJ
65fb59ec72a34e612b78e719,27b20136-f946-4c3b-be3c-63f8da9c4e46,Efficiency of Solar Panels compared to Fossil Fuels,3,1,2024-03-20 21:49:32.476,2024-03-20 21:49:32.476,0,LOC2VQtIQ_AJ
65fbd942bfa874c7f4238ced,58044e06-3255-4dbb-bbbd-14de28c2a9f9,Species of Fire Ants in the United States | Orkin,2,1,2024-03-21 06:52:50.500,2024-03-21 06:52:50.500,0,NcDZp_0RB_YJ
65fbf2b955a41b477058a780,e4e0169e-faaa-47b8-b60a-35c0a86cd1bb,Are Artificial Food Additives Harmful to Your Health?,3,1,2024-03-21 08:41:29.618,2024-03-21 08:41:29.618,0,9zuu0R034gUJ
65fbf2c755a41b477058a782,e4e0169e-faaa-47b8-b60a-35c0a86cd1bb,"Hazard Classification Guidance for Manufacturers, Importers, and ...",1,1,2024-03-21 08:41:43.983,2024-03-21 08:41:43.983,0,
65fbf2d255a41b477058a784,e4e0169e-faaa-47b8-b60a-35c0a86cd1bb,Are Artificial Food Additives Harmful to Your Health?,3,1,2024-03-21 08:41:54.939,2024-03-21 08:41:54.939,0,9zuu0R034gUJ
65fbf2d655a41b477058a788,e4e0169e-faaa-47b8-b60a-35c0a86cd1bb,Food labels - Better Health Channel,2,1,2024-03-21 08:41:58.120,2024-03-21 08:41:58.120,0,Ew59AyL0FqIJ
